nm_place,type_place
四季山咖啡 Coffee,咖啡厅
四季青镇综合文化中心,文化活动中心（街道）
四季青镇新时代文明实践所,其他休闲场馆
四季青镇群众文化广场,城市广场
四季青图书馆,其他休闲场馆
四季青青少年活动中心,其他休闲场馆
四季青农业集团绿色果品采摘园,其他休闲场馆
四季青果林所技术推广中心,其他休闲场馆
四季葡萄采摘园,其他休闲场馆
四季美嘉月嫂服务中心,其他休闲场馆
四季码头,
四季咖啡厅(回龙观西大街店),咖啡厅
四季咖啡厅,咖啡厅
四季酒屋Seasans Wines,酒吧茶馆
四季酒店·茶园,酒吧茶馆
四季精酿啤酒 Four seasons,酒吧茶馆
四季金源购物中心,综合商场
四季金源购物中心,综合商场
四季金临百货,综合商场
四季健身工作室,其他体育场馆
四季汇,
四季花开民俗饭庄(鱼王美食街店),其他休闲场馆
四季红农家院,其他休闲场馆
四季垂钓园(芦西园钓场),其他休闲场馆
四季茶楼茶艺商务棋牌,其他休闲场馆
四惠金地名京网球馆,其他体育场馆
蜂巢CBD传媒艺术工作区,
四惠大厦,写字楼
四惠nicework,其他休闲场馆
四和Whisky&Cocktail Bar,酒吧茶馆
四合庄园,其他休闲场馆
四合院轰趴馆之幸会(磁器口店),其他休闲场馆
四合苑画廊,画廊
四合书院,其他休闲场馆
四合山房,
四合公园,生态公园
四海镇综合文化中心,文化活动中心（街道）
四海镇,
四海台球,其他体育场馆
四海金龙,综合商场
四海健身,其他体育场馆
四海钓鱼,其他休闲场馆
四海茶道院,酒吧茶馆
四海草莓园,其他休闲场馆
四海·威士忌·鸡尾酒吧,酒吧茶馆
四国茶楼台球棋牌(天通东苑店),其他休闲场馆
四国茶楼棋牌(天通西苑店),其他休闲场馆
四分之三画廊,画廊
四方轩,其他休闲场馆
四方棋牌茶楼(三元桥店),其他休闲场馆
四方密界密室逃脱旗舰店,其他休闲场馆
四方聚友垂钓园,其他休闲场馆
四渡跑马场,其他体育场馆
四渡河村文化大院,其他休闲场馆
四得公园羽毛球馆,其他体育场馆
四得公园,综合公园
四川龙爪树宾馆-羽毛球馆,其他体育场馆
四川龙爪树宾馆-网球馆,其他体育场馆
四倍体咖啡,咖啡厅
死胡同推理·剧本轰趴馆(三里屯店),其他休闲场馆
死胡同·Tufting毛毛毯·手作工坊(望京店),其他休闲场馆
斯文传古风·邓拓捐赠古代绘画精品展,其他休闲场馆
斯索台球俱乐部(昌平店),体育俱乐部
斯斯与熊剧本杀,其他休闲场馆
斯琴格日乐,其他休闲场馆
斯奇曼室内滑雪(房山万科半岛店),其他体育场馆
斯奇曼滑雪常营华联店,其他体育场馆
斯奇曼滑雪(中粮·祥云小镇南区店),其他体育场馆
斯奇曼滑雪(回龙观店),其他体育场馆
斯奇曼(BHG Mall北京华联万柳购物中心店),其他体育场馆
斯普秀瑜伽生活馆,其他体育场馆
斯普瑞斯奥特莱斯2期,综合商场
斯普瑞斯奥特莱斯,综合商场
斯普林普拉提工作室,其他体育场馆
斯迈特智能健身,其他体育场馆
斯迈尔游泳健身(恒大店),其他体育场馆
斯迈尔健身(双桥店),其他体育场馆
斯莱斯室内高尔夫,其他体育场馆
斯酷·咖啡·酒吧,咖啡厅
斯科威尔冰雪文化产业基地,产业园区
斯凯奇super store(龙湖长楹天街购物中心西区),综合商场
斯凯伦健身游泳俱乐部,体育俱乐部
斯凯伦国际健身会所,其他体育场馆
斯凯兰德生态环保园,产业园区
斯基工坊汽车陪练中心,培训机构
斯多格书乡,书店
斯戴尔技术培训中心,培训机构
斯达特游泳健身,其他体育场馆
斯达特健身,其他体育场馆
斯辰台球俱乐部,体育俱乐部
斯博特游泳俱乐部(悠唐皇冠店),体育俱乐部
斯博特游泳俱乐部(唐拉雅秀店),体育俱乐部
斯博特游泳俱乐部(首体南路店),体育俱乐部
斯博特游泳俱乐部(蔓兰店),体育俱乐部
斯博特游泳俱乐部(建国门店),体育俱乐部
斯博特游泳俱乐部(富力万丽店),体育俱乐部
斯博特游泳俱乐部(泛太平洋店),体育俱乐部
斯伯丁篮球公园,其他体育场馆
斯巴达人健身,其他体育场馆
思壮乒乓球俱乐部,体育俱乐部
思远书吧(富力广场店),其他休闲场馆
思远健身,其他体育场馆
思源时光,咖啡厅
思圆行方学习能力研究中心,培训机构
思瑜伽(马连洼店),其他体育场馆
思迅软件北京服务中心,培训机构
思想家茶室,酒吧茶馆
思味手作烘焙DIY(朝阳大悦城店),其他休闲场馆
思索音响(新东郊商城店),书店
思瑞伦网球俱乐部,体育俱乐部
思诺咖啡餐厅Snow coffee,咖啡厅
思迈星运动馆,其他体育场馆
思莱德画廊,画廊
思可为高尔夫俱乐部,体育俱乐部
思凡咖啡,咖啡厅
思尔达口才培训中心,培训机构
思鼎茶苑,酒吧茶馆
思德客咖啡厅,咖啡厅
思创园演艺厅,其他演出场馆
思创园咖啡,咖啡厅
思创咖啡,咖啡厅
思创儿童成长中心,培训机构
思搏特游泳健身会所(康乐里店),其他体育场馆
思搏特健身中心(牛街店),其他体育场馆
私宅轰趴馆,其他休闲场馆
私寓汇(威尔夏大道店),电影院
私域自助K歌轰趴式茶馆,其他休闲场馆
私语茶舍,酒吧茶馆
私影会所(望京店),电影院
私享院线(如家清华大学东门店),电影院
私享幽阁会馆,其他休闲场馆
私体动能体能训练中心(六里屯店),其他体育场馆
私体动能体能训练中心(金域国际店),其他体育场馆
私体动能(宣武门店),其他体育场馆
私汤瑜伽,其他体育场馆
私熟高端轰趴馆·年会团建(通州店),其他休闲场馆
私熟高端轰趴馆·年会团建(双桥店),其他休闲场馆
私熟高端沉浸式轰趴馆团建·年会·聚会(大黄庄店),其他休闲场馆
私人影咖(顺义金街南路店),电影院
私人俱乐部,体育俱乐部
私人会所,其他休闲场馆
私人订制搏击俱乐部,体育俱乐部
私人處所酒吧,酒吧茶馆
私人處所轰趴Live House,其他休闲场馆
私人GYM运动健身,其他体育场馆
私慕有约,咖啡厅
私磨咖啡馆&酒吧,咖啡厅
私密茶舍,酒吧茶馆
私聊茶社(鸿豪商业中心店),酒吧茶馆
私聊茶社(朝外店),酒吧茶馆
私立汇佳学校联合国教科文组织俱乐部,体育俱乐部
私教团课健身瑜伽普拉提,其他体育场馆
私教健身,其他体育场馆
私家健身,其他体育场馆
私处轰趴工作室(中关村店),其他休闲场馆
丝密君spa养生馆,其他休闲场馆
丝路物语·茶空间,酒吧茶馆
丝路酩庄,酒吧茶馆
丝路华兴艺术中心,展览馆
丝禄棋牌·茶室,其他休闲场馆
司马台长城,其他户外景区
司马台闫福霞农家乐,其他休闲场馆
司马台民俗(司沙路分店),其他休闲场馆
司马台李俊祥民俗院,其他休闲场馆
司马台德酒家,其他休闲场馆
司理小院沉浸式剧本杀桌游体验馆,其他休闲场馆
司蒂姆手创俱乐部,体育俱乐部
硕泽口袋游园,游园
硕华画廊,画廊
硕果秋天有机蔬菜种植园区,其他休闲场馆
硕承跆拳道运动竞技馆,其他体育场馆
朔黄发展大厦,写字楼
说书人剧本推理演绎馆·剧本·血染钟楼,其他休闲场馆
说吧汉语中心,培训机构
舜搏智运足球场,其他体育场馆
顺子樱桃园,其他休闲场馆
顺羽飞扬羽毛球俱乐部,体育俱乐部
顺逸轩,酒吧茶馆
顺益鑫峰马术培训中心,培训机构
顺义影剧院,电影院
顺义新城生态休闲公园,社区公园
顺义图书馆,其他休闲场馆
顺义体育局羽毛球馆,其他体育场馆
顺义体委游泳场,其他体育场馆
顺义跆拳道馆,其他体育场馆
顺义区杨镇地区下营村文体广场,城市广场
顺义区燕泽洲商城大厅,综合商场
顺义区文化中心,其他休闲场馆
顺义区图书馆后沙峪分馆,其他休闲场馆
顺义区图书馆(天竺分馆),其他休闲场馆
顺义区图书馆(石园街道分馆),其他休闲场馆
顺义区图书馆(龙湾屯镇分馆),其他休闲场馆
顺义区天竺镇公园,社区公园
顺义区石园街道文体活动中心,其他休闲场馆
顺义区上市企业孵化基地,产业园区
顺义区仁和镇沙坨工业园,产业园区
顺义区仁和镇沙陀村老年活动站,其他休闲场馆
顺义区全国劳模纪念馆,纪念馆
顺义区南法信镇社区青年汇,工人文化宫
顺义区马坡镇大营村老年活动站,其他休闲场馆
顺义区李桥镇企业集中办公区,产业园区
顺义区空港工业区,产业园区
顺义区教育研究和教师研修中心,培训机构
顺义区恒慧创业孵化基地,产业园区
顺义区档案馆,档案馆
顺义奶油草莓采摘,其他休闲场馆
顺义马坡金宝天阶极速轮滑,其他体育场馆
顺义马坡国际马术俱乐部,体育俱乐部
顺义和谐广场公园,生态公园
顺义国展产业园,产业园区
顺义公园-门球场,其他体育场馆
顺义公园冰场(暂停营业),其他体育场馆
顺义公园,综合公园
顺义动物星世界水吧,咖啡厅
顺义第三代半导体联合创新基地,产业园区
顺义大芦荡草莓樱桃采摘园区,其他休闲场馆
顺义大剧院,剧场
顺义产业园,产业园区
顺义茶馆,酒吧茶馆
顺义滨河森林公园,生态公园
顺义宾馆游泳健身会所,其他体育场馆
顺义北小营宏大工业区,产业园区
顺义奥林匹克水上公园-足球场,其他体育场馆
顺义奥林匹克水上公园室外冰场,其他体育场馆
顺义奥林匹克水上公园-沙滩足、排球场地,其他体育场馆
顺义奥林匹克水上公园-喷泉广场,城市广场
顺义奥林匹克水上公园-笼式篮球/足球场,其他体育场馆
顺义奥林匹克水上公园,专类公园
顺义_国泰商场6层,综合商场
顺兴农家乐旅游观光园,其他休闲场馆
顺兴百果庄园,其他休闲场馆
顺星商城,综合商场
顺鑫台球俱乐部,体育俱乐部
顺鑫石门市场,集市市场
顺鑫棋牌室,其他休闲场馆
顺鑫马术俱乐部,体育俱乐部
顺馨园,游园
顺馨牛奶草莓采摘园,其他休闲场馆
顺心堂茶室,酒吧茶馆
顺心草莓采摘园,其他休闲场馆
顺通远达工业园,产业园区
顺天佳美生态园,其他休闲场馆
顺时而饮茶吧,酒吧茶馆
顺商集团国泰东风商场,综合商场
顺商集团国泰大卖场(宏城店),综合商场
顺民心农资,集市市场
顺美e-时尚书店,书店
顺利果园樱桃采摘,其他休闲场馆
顺丽鑫生态观光农业园区,其他休闲场馆
顺康老年护理中心,其他休闲场馆
顺景总部公元,产业园区
顺景园,其他户外景区
顺金文创园,产业园区
顺福源农家院,其他休闲场馆
顺福来茶庄,酒吧茶馆
顺峰山荘（农展馆店）,其他休闲场馆
顺风茶楼(青塔西路店),酒吧茶馆
顺丰健身服务,其他体育场馆
顺丰丰泰产业园·北京顺义,产业园区
顺发商场(保健路),综合商场
顺发采摘园,其他休闲场馆
顺达轩茶楼·棋牌,酒吧茶馆
顺达旺发商贸中心,综合商场
顺达旺发商贸中心,综合商场
顺达篮球馆,其他体育场馆
顺驰林溪·别墅轰趴·团建聚会·民宿,其他休闲场馆
顺城公园,社区公园
顺诚凯旺商贸中心,集市市场
顺诚凯旺商贸中心,集市市场
顺昌有机牛奶草莓采摘园,其他休闲场馆
顺搏搏击俱乐部,体育俱乐部
顺博文书店,书店
顺博时图书城,书店
顺奥冰世界,其他体育场馆
顺1草莓采摘园区,其他休闲场馆
顺·游泳,其他体育场馆
水中天茗源山房茶楼(西钓鱼台·嘉园店),酒吧茶馆
水知道答案·漂浮馆,其他休闲场馆
水真卡牌俱乐部,体育俱乐部
水长城山城庄园,其他休闲场馆
水长城如意山庄,其他休闲场馆
水长城,其他户外景区
水韵风情庄园广场,城市广场
水运年华健身会馆,其他体育场馆
水云轩台球,其他体育场馆
水云轩茶楼,酒吧茶馆
水云轩(顺八条店),其他体育场馆
水云涧茶舍,酒吧茶馆
水悦荟亲子游泳(花乡奥莱村),其他体育场馆
水悦荟亲子游泳(广渠门中心),其他体育场馆
水峪嘴村幸福广场,城市广场
水峪樱桃园,其他休闲场馆
水峪村文体活动中心,其他休闲场馆
水峪村,其他户外景区
水叶茶轩,酒吧茶馆
水鑫茶楼(志新桥店),酒吧茶馆
水鑫茶楼(北清路店),酒吧茶馆
水务局老干部活动站,其他休闲场馆
水文社区老年活动中心,其他休闲场馆
水屯水果蔬菜批发,集市市场
水屯批发市场,集市市场
水屯村红绿灯北66米华联购物中心(北京华联同城购物中心店),综合商场
水松缘健身中心,其他体育场馆
水松缘惠民商城(叫响金街店),综合商场
水色瑜伽(鸿坤广场店),其他体育场馆
水润绿极山庄,其他休闲场馆
水泉沟村多媒体文化活动中心,其他休闲场馆
水泉沟,其他户外景区
水泉村,其他户外景区
水清源农家院,其他休闲场馆
水清瑜伽,其他体育场馆
水泊人家,其他休闲场馆
水坡村妇女儿童之家,其他休闲场馆
水畔栖谷,其他休闲场馆
水碾子庄园,其他休闲场馆
水木瑜伽(华创生活广场),其他体育场馆
水木轩茶木艺工坊,酒吧茶馆
水木庭院茶坊,酒吧茶馆
水木天成门店(A店),酒吧茶馆
水木书屋(清华教材服务中心分店),书店
水木三创咖啡,咖啡厅
水木融道,咖啡厅
水木迷城密室逃脱(朝阳大悦城店),其他休闲场馆
水木迷城机械剧情密室(中关村店),其他休闲场馆
水木当代艺术空间,
水木白茗(第三区商业街店),酒吧茶馆
水墨雍和画廊,画廊
水墨书香阁(半岛V公馆店),书店
水墨视界艺术工作室,
水墨兰庭,酒吧茶馆
水流湾咖啡·茶咖,咖啡厅
水灵山庄,其他休闲场馆
水帘洞乐园,其他休闲场馆
水立方游泳俱乐部,体育俱乐部
水立方艺术季,其他休闲场馆
水蓝瑜伽(天通苑店),其他体育场馆
水库周边景观带公园,社区公园
水库鱼市,集市市场
水库雪玲农家,其他休闲场馆
水库美食公社(北苑店),咖啡厅
水库假日餐厅,其他体育场馆
水景园,其他休闲场馆
水晶元宇宙咖啡CRYSTAL,咖啡厅
水晶游泳培训(方庄店),其他体育场馆
水晶鞋轰趴馆,其他休闲场馆
水晶港生活广场,综合商场
水晶吧,酒吧茶馆
水涧京工渝樱桃采摘园,其他休闲场馆
水果蔬菜肉类,集市市场
八达岭水关长城,其他户外景区
水格瑜伽,其他体育场馆
水滴羽毛球馆,其他体育场馆
水滴剧场,剧场
水德广场,城市广场
水村居茶舍,酒吧茶馆
水城国际文化广场,城市广场
水城广场四层,综合商场
水城广场,综合商场
水产技术培训中心,培训机构
水菜豆芽交易区,集市市场
水碧治防水集团总部生产基地,产业园区
水奥雪世界嬉雪乐园,其他体育场馆
水岸影视创意园,产业园区
水岸乡林草莓采摘园,其他休闲场馆
水岸会所,其他体育场馆
水岸花园主题别墅轰趴馆,其他休闲场馆
水岸花田,其他休闲场馆
水岸88创意园,产业园区
爽妍源儿童游乐中心,其他体育场馆
爽目视觉环境产业园弘文博雅园,产业园区
双紫花园,游园
双子座大厦,写字楼
双子台球厅,其他体育场馆
双舟台球俱乐部,体育俱乐部
双月百合瑜伽(远洋山水店),其他体育场馆
双月百合瑜伽,其他体育场馆
双榆树公园,游园
双瑜座瑜伽,其他体育场馆
双鱼线游泳健身培训中心(小营北路店),其他体育场馆
双鱼线游泳健身培训中心(望京嘉美店),其他体育场馆
双鱼线塑形健身,其他体育场馆
双鱼线健身,其他体育场馆
双友台球俱乐部,体育俱乐部
双拥运动场,其他体育场馆
双拥广场,城市广场
双鹰台球棋牌俱乐部,体育俱乐部
双益发文化创意园,产业园区
双益发文创园,产业园区
双阳公园,社区公园
双秀公园,综合公园
双雄跤馆五棵松训练馆,其他体育场馆
双兴公园,社区公园
双馨阁画廊,画廊
双新观光采摘园,其他休闲场馆
双新爱心苑文化广场,城市广场
双欣草莓采摘园,其他休闲场馆
双喜积分商城,综合商场
双文铺公园,生态公园
双卫医学技术培训中心,培训机构
双台采摘园,其他休闲场馆
双塔文化大院,其他休闲场馆
双双草莓园,其他休闲场馆
双树云文化科技产业园,产业园区
双树北村便民图书阅览室,其他休闲场馆
双十越扬网球羽毛球乒乓台球培训(西城校区),其他体育场馆
双润品茗馆,酒吧茶馆
双泉寺,寺院
双泉嘉苑,住宅楼
双泉河公园,社区公园
双全中心,城市广场
双清书咖(双清公寓店),咖啡厅
双清大厦,写字楼
双面人生剧本杀,其他休闲场馆
双龙峡,其他户外景区
双利物流园,产业园区
双俊腾达丰台正阳桥北商业街专区,综合商场
双俊台球厅,其他体育场馆
双井街道总工会职工文体活动中心,其他体育场馆
双井街道综合文化中心,文化活动中心（街道）
双井阁·茶馆(双井富力城店),酒吧茶馆
双井富力城,住宅楼
双花园海关职工活动中心,其他休闲场馆
双鹤药业-图书馆,其他休闲场馆
双河采摘果园,其他休闲场馆
双高社区老年活动站,其他休闲场馆
双福樱桃采摘园,其他休闲场馆
双烽镇,酒吧茶馆
双烽酒吧（Twinbeacons）,
双峰镇 BAR·SWEETWATER TOWN,酒吧茶馆
双风车咖啡馆 twin windmills(五道口店),咖啡厅
双风车咖啡馆 Twin Windmills(六道口店),咖啡厅
双椿阁书店,书店
双创社区,产业园区
双城私教工作室,其他体育场馆
双陈普洱,酒吧茶馆
双埠头工业园区,产业园区
双安商场,综合商场
双A数字农业示范基地,其他休闲场馆
拴马桩村国光苹果采摘基地,其他休闲场馆
拴马庄永平种植专业合作社,其他休闲场馆
帥武道武术搏击格斗健身俱乐部(梨园店),体育俱乐部
帥武道泰拳搏击散打俱乐部(朝阳路店),体育俱乐部
帅武道搏击健身中心,其他体育场馆
帅武道搏击,其他体育场馆
帅国华书店,书店
帅才商场,综合商场
数字图书馆,其他休闲场馆
数字美术馆,
数字空间永乐汇篮球文化中心,其他体育场馆
数字空间篮球馆(新奥店),其他体育场馆
数字空间篮球馆,其他体育场馆
数字科普图书馆,其他休闲场馆
数字科普活动室,其他休闲场馆
数字谷B区,产业园区
数字谷,产业园区
数字电视产业园,产业园区
数学与系统科学研究院图书馆,其他休闲场馆
数贸商城,综合商场
数码庄园,产业园区
数码视讯产业园,产业园区
数码01大厦25层方舟部落,其他休闲场馆
数码01大厦  25层 Lan Coffee,咖啡厅
数码01大厦,写字楼
数控设备安装调试及维修培训中心,培训机构
树忠葡萄采摘园,其他休闲场馆
树阵广场,城市广场
树院,产业园区
树友草莓园,其他休闲场馆
树荫广场,城市广场
树艺时光(鸭厂店),咖啡厅
树屋小镇(水奥店),其他休闲场馆
树桃李教育青少儿国际成长中心,培训机构
树上咖啡馆,咖啡厅
树森观光采摘园,其他休闲场馆
树人跆拳道搏击俱乐部,体育俱乐部
树青果业草莓园,其他休闲场馆
树苗手作·烘焙花艺DIY(双井店),其他休闲场馆
树美术馆,美术馆
树峰草莓园,其他休闲场馆
树洞推理社,其他休闲场馆
树洞解压体验馆,其他休闲场馆
树村社区青年汇,工人文化宫
树村清真寺,清真寺
树村郊野公园,专类公园
树村公园足球场,其他体育场馆
曙光影院,电影院
曙光文化广场,社区公园
曙光人口文化梦之园,城市广场
曙光街道综合文化中心,文化活动中心（街道）
曙光街道社区居民活动中心,其他休闲场馆
秫空间,其他休闲场馆
蔬菜批发配送中心,集市市场
蔬菜批发配送中心,集市市场
蔬菜采摘,其他休闲场馆
输入胡同百姓生活服务中心,集市市场
输入胡同百姓生活服务中心,集市市场
疏影书店有限公司,书店
疏野茶堂(居然之家家居生活MALL店),酒吧茶馆
舒雅草莓园,其他休闲场馆
舒心足道,其他体育场馆
舒体游泳健身,其他体育场馆
舒特咖啡&润SPACE,咖啡厅
舒特咖啡,咖啡厅
舒特IB精酿棋牌室,其他休闲场馆
舒特ib精酿坊,酒吧茶馆
舒毯Tufting·无重力突突毯·流体熊,其他休闲场馆
舒释健身普拉提生活馆(航天桥店),其他体育场馆
舒燃坦克健身,其他体育场馆
舒空间瑜伽(福尼亚剧院店),其他体育场馆
舒咔瑜伽馆,其他体育场馆
舒华五人制足球场,其他体育场馆
舒华篮球场,其他体育场馆
舒格瑜伽,其他体育场馆
舒尔兹国际音乐厅,音乐厅
淑霞草莓采摘园,其他休闲场馆
淑兰馨采摘园,其他休闲场馆
淑芬樱桃采摘园,其他休闲场馆
書籤,其他休闲场馆
書茶,咖啡厅
殊胜福田生态农场,其他休闲场馆
姝妍妈咪产后修复中心,其他休闲场馆
枢密院(经海七路),产业园区
书中书图书有限公司(图书批发大厦店),书店
书屿白Cafe,咖啡厅
书影时光cafe,咖啡厅
书写生活咖啡馆,咖啡厅
书香自助图书馆(朝阳店),其他休闲场馆
书香自助图书馆,其他休闲场馆
书香驿站,书店
书香学士图书有限公司,书店
书香文雅图书公司,书店
书香图书馆(朝阳区店),其他休闲场馆
书香图书馆(朝阳店),其他休闲场馆
书香图书馆(朝阳116号店),其他休闲场馆
书香石景山24h阅读空间,其他休闲场馆
书香茗苑,酒吧茶馆
书香明居,其他休闲场馆
书香门地,书店
书香花园棋牌·网咖·台球,其他休闲场馆
书香广场,城市广场
书香读书会,书店
书香德勝,其他休闲场馆
书香朝阳自助图书馆(太阳宫路),其他休闲场馆
书香朝阳自助图书馆(朝阳074号店),其他休闲场馆
书香朝阳自助图书馆(北苑路),其他休闲场馆
书香朝阳自助图书馆,其他休闲场馆
书香朝阳图书馆,其他休闲场馆
书香朝阳24小时自助图书馆036号,其他休闲场馆
书香朝阳24小时自助图书馆016号,其他休闲场馆
书香朝阳24小时自助图书馆014号,其他休闲场馆
书香朝阳24小时自助图书馆004号,其他休闲场馆
书香朝阳24小时自助图书馆(武基街),其他休闲场馆
书香朝阳24小时自助图书馆(双桥南街),其他休闲场馆
书香朝阳24小时自助图书馆(青年北路),其他休闲场馆
书香朝阳24小时自助图书馆(建国路),其他休闲场馆
书香朝阳24小时自助图书馆(惠新西街),其他休闲场馆
书香朝阳24小时自助图书馆(和平里校区店),其他休闲场馆
书香朝阳24小时自助图书馆(工人体育场北路),其他休闲场馆
书香朝阳24小时自助图书馆(大柳树路),其他休闲场馆
书香朝阳24小时自助图书馆(朝阳北路),其他休闲场馆
书香朝阳24小时自助图书馆(百子湾南路),其他休闲场馆
书香朝阳24小时自助图书馆(099号),其他休闲场馆
书香朝阳24小时自助图书馆,其他休闲场馆
书香朝阳·24小时自助图书馆,其他休闲场馆
书香朝阳(望京西路),其他休闲场馆
书香朝阳(顺源街),其他休闲场馆
书香朝阳,其他休闲场馆
书香茶苑,酒吧茶馆
书香茶舍(首创奥特莱斯店),酒吧茶馆
书香采摘园,其他休闲场馆
书香24小时自助图书馆(武基街店),其他休闲场馆
书香24小时自助图书馆(南湖南路),其他休闲场馆
书香24小时自助图书馆(华威路),其他休闲场馆
书香24小时自助图书馆(大郊亭中街),其他休闲场馆
书香24小时自助图书馆(G6辅路),其他休闲场馆
书香24小时自助图书馆,其他休闲场馆
书香(朝阳柳芳北里网点),其他休闲场馆
书香(朝阳店),其他休闲场馆
书湾童书坊,书店
书舒阅读亭,其他休闲场馆
书神岛图书发行有限公司,书店
书社阅时光,其他休闲场馆
书舍咖啡厅,咖啡厅
书山有鹿概念书屋,书店
书谱美术馆,
书平绿圃食用菌专业合作社,其他休闲场馆
书良西红柿采摘园,其他休闲场馆
书剧+LARP Club,其他休闲场馆
书剑茶书院,酒吧茶馆
书慧茶缘,酒吧茶馆
书画山风景区沙滩球场,其他体育场馆
书画山风景区攀岩区,其他体育场馆
书和咖啡,咖啡厅
书店铺旧书,书店
书茶元年·咖啡(亚运村店),咖啡厅
书茶元年·咖啡(四季科创店),咖啡厅
书茶元年·咖啡(创业大厦店),咖啡厅
书茶生活,酒吧茶馆
书·宜空间,咖啡厅
兽鸟健身(金融街购物中心店),其他体育场馆
狩猎风暴,其他休闲场馆
寿家我们只做正岩茶,酒吧茶馆
首云国家矿山公园篮球场,其他体育场馆
首邑溪谷休闲园,社区公园
首学通教育中心,培训机构
首信大厦,产业园区
首图剧场,剧场
首体花样滑冰训练馆,其他体育场馆
首体短道速滑训练馆,其他体育场馆
首体北校区足球场,其他体育场馆
首泰格斗馆(银河SOHO店),其他体育场馆
首泰格斗馆(凯德MALL望京店),其他体育场馆
首泰格斗馆(朝外SOHO),其他体育场馆
首泰CTC,其他体育场馆
首泰·High5综合格斗馆,其他体育场馆
首师大附属回龙观育新教育集团华电附中-羽毛球馆,其他体育场馆
首乾得瑜伽私教工作室,其他体育场馆
首农庄园,其他休闲场馆
首农香山智慧广场,综合商场
首农香山会议中心,酒店
东枫国际体育园,其他体育场馆
首农SOHO游泳健身会所,其他体育场馆
首开智荟街,综合商场
首开福茂购物中心(宋家庄店),综合商场
首开福茂(长阳店),综合商场
首开常青藤商业A区,产业园区
首开铂郡,住宅楼
首开保利欢乐大都汇,综合商场
首开SPORTS PARK,其他体育场馆
首经贸羽毛球篮球,其他体育场馆
首经贸游泳馆,其他体育场馆
首佳利华生命健康产业园,产业园区
首汇健康科技园,产业园区
首航生活广场(瀛海店),综合商场
首航生活广场(七里庄店),综合商场
首钢园国家冬季训练中心-速滑馆,其他体育场馆
首钢园国家冬季训练中心-花滑馆,其他体育场馆
首钢园冰壶馆,其他体育场馆
首钢园VR影院,电影院
首钢园-六工汇购物广场,综合商场
首钢园- 厂东门新址广场,城市广场
首钢园,其他户外景区
首钢氧气厂气体产业基地,产业园区
首钢杨庄游泳馆,其他体育场馆
首钢五一剧场,剧场
首钢体育运动中心,其他体育场馆
首钢体育馆游泳馆,其他体育场馆
首钢体育大厦首钢篮球中心,其他体育场馆
首钢体育大厦剧场,剧场
首钢特殊钢有限公司首特钢园区,产业园区
首钢乒乓球队,其他体育场馆
首钢老山文化馆,其他休闲场馆
首钢篮球中心一层少儿体适能馆,其他体育场馆
首钢篮球中心,其他体育场馆
首钢篮球中心,其他体育场馆
首钢建设集团有限公司第一冶金建设工程分公司培训中心,培训机构
首钢集团香山培训中心,培训机构
首钢花滑馆,其他体育场馆
首钢古城影剧院,剧场
首钢工学院-足球场,其他体育场馆
首钢工学院-篮球场,其他体育场馆
首钢高端产业综合服务区,产业园区
首钢二通产业园,产业园区
首钢园,其他户外景区
首府会游泳健身,其他体育场馆
首府茶道·易经·养生,酒吧茶馆
首发路悦智能书店,书店
首发路客,咖啡厅
首都自然资源产业园,产业园区
首都医科大学-心血管疾病临床试验及社区干预中心,培训机构
首都医科大学-网球场,其他体育场馆
首都医科大学篮球场,其他体育场馆
首都医科大学科技园,产业园区
首都医科大学康文书店,书店
首都图书馆艺术展厅,
首都图书馆图书流通站,其他休闲场馆
首都图书馆-视听资料中心,其他休闲场馆
首都图书馆农业资料中心,其他休闲场馆
首都图书馆咖啡厅,咖啡厅
首都图书馆剧场,剧场
首都图书馆城市街区自助图书馆(永定门东街),图书馆
首都图书馆城市街区自助图书馆(建材城东路),其他休闲场馆
首都图书馆城市街区自助图书馆(崇文门东大街),其他休闲场馆
首都图书馆城市街区自助图书馆,其他休闲场馆
首都图书馆-B座,其他休闲场馆
首都图书馆-A座,其他休闲场馆
首都图书馆(大兴机场分馆),其他休闲场馆
首都图书馆,图书馆
首都体育学院游泳馆,其他体育场馆
首都体育学院训练馆3号楼,其他体育场馆
首都体育学院训练馆,其他体育场馆
首都体育学院-图书馆,其他休闲场馆
首都体育学院田径综合馆,其他体育场馆
首都体育学院田径场,其他体育场馆
首都体育学院汽膜滑冰馆,其他体育场馆
首都体育学院篮球馆,其他体育场馆
首都体育学院-精英私人教练中心,培训机构
首都体育学院店搏迪击剑跆拳道,其他体育场馆
首都体育学院,学校
首都体育馆滑冰馆全民健身中心(五塔寺路),其他体育场馆
首都体育馆,综合体育馆
首都市民音乐厅,音乐厅
首都师范大学足球场,其他体育场馆
首都师范大学阅卷中心,培训机构
首都师范大学羽毛球馆,其他体育场馆
首都师范大学音乐厅,音乐厅
首都师范大学一区图书馆(北校区),其他休闲场馆
首都师范大学信息工程学院计算机科学与技术实验教学中心,培训机构
首都师范大学乒乓球室,其他体育场馆
首都师范大学美术馆,
首都师范大学篮球场(科原大厦B座西),其他体育场馆
首都师范大学科德学院-图书馆,其他休闲场馆
首都师范大学科德学院剧院,剧场
首都师范大学附属密云中学青少年体育综合俱乐部,体育俱乐部
首都师范大学出版社读者服务部,书店
首都师范大学,学校
